Date,Vehicle Type,Transport Type,Drive,Measure,Value,Comment,Dataset,Frequency,Fuel,Scope,Economy
2016-12-31,2w,passenger,all,stocks,828965.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,bus,passenger,all,stocks,96582.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,car,passenger,all,stocks,25557947.95,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,ht,freight,all,stocks,261667.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,ht,freight,ice_d,stocks,158250.08291220147,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,ht,freight,ice_g,stocks,6536.9966787331405,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,lcv,freight,all,stocks,3131018.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,lcv,freight,ice_d,stocks,136004.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,lcv,freight,ice_g,stocks,7656.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,lt,passenger,all,stocks,60900.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,mt,freight,all,stocks,169330.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,mt,freight,ice_d,stocks,161929.91708779853,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,mt,freight,ice_g,stocks,6689.0033212668595,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,other,freight,all,stocks,23567.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2016-12-31,suv,passenger,all,stocks,2072266.0499999998,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,2w,passenger,all,stocks,880881.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,bus,passenger,all,stocks,100473.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,car,passenger,all,stocks,27156610.65,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,ht,freight,all,stocks,287915.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,ht,freight,ice_d,stocks,177000.7657468356,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,ht,freight,ice_g,stocks,5045.784033842947,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,lcv,freight,all,stocks,3583696.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,lcv,freight,ice_d,stocks,168379.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,lcv,freight,ice_g,stocks,6710.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,lt,passenger,all,stocks,72220.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,mt,freight,all,stocks,176056.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,mt,freight,ice_d,stocks,170491.2342531644,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,mt,freight,ice_g,stocks,4860.215966157053,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,other,freight,all,stocks,24841.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2020-12-31,suv,passenger,all,stocks,2201887.35,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,2w,passenger,all,stocks,913803.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,bus,passenger,all,stocks,97060.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,car,passenger,all,stocks,27473748.75,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,ht,freight,all,stocks,296623.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,ht,freight,ice_d,stocks,181183.9541684818,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,ht,freight,ice_g,stocks,4744.267361482127,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,lcv,freight,all,stocks,3706786.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,lcv,freight,ice_d,stocks,179028.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,lcv,freight,ice_g,stocks,6758.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,lt,passenger,all,stocks,74324.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,mt,freight,all,stocks,178293.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,mt,freight,ice_d,stocks,173029.04583151822,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,mt,freight,ice_g,stocks,4530.732638517873,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,other,freight,all,stocks,25378.0,no_comment,AUS_census,Yearly,all,National,01_AUS
2021-12-31,suv,passenger,all,stocks,2227601.25,no_comment,AUS_census,Yearly,all,National,01_AUS
