Vehicle Type,Drive,Value,transport_type,economy,date,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
2w,bev,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,bev,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,bev,5685,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,bev,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,bev,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,cng,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,cng,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,cng,273530,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,cng,8351,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,cng,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,phev_g,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,phev_g,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,phev_g,24190,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,phev_g,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,phev_g,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,phev_d,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,phev_d,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,phev_d,1,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,phev_d,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,phev_d,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,lpg,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,lpg,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,lpg,743884,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,lpg,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,lpg,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,ice_g,21567486,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,ice_g,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,ice_g,7281581,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,ice_g,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,ice_g,0,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
2w,ice_d,0,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
bus,ice_d,151547,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lpv,ice_d,3599178,passenger,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
ht,ice_d,1165450,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
lcv,ice_d,6469904,freight,19_THA,2020,road,stocks,9th_model_first_iteration,thanan,stocks,all,no_comment,national,yearly
